"Ward","category","n","disciplined","sustained","open","unknown","sd_plus"
46,"Traffic",4,0,0,0,1,0
46,"Verbal Abuse",13,0,0,0,3,0
47,"Alcohol Abuse",3,2,1,0,0,1
47,"Arrest/Lock-up Procedures",55,0,1,0,3,0.0192307692307692
47,"Bribery / Official Corruption",1,0,0,0,0,0
47,"Conduct Unbecoming (Off-duty)",8,1,0,1,2,0.2
47,"Criminal Misconduct",1,0,0,0,0,0
47,"First Amendment and Illegal Arrest",62,0,0,0,18,0
47,"Operation/Personnel Violations",111,6,5,0,17,0.117021276595745
47,"Search-Related",37,3,2,0,1,0.138888888888889
47,"Traffic",3,0,0,0,1,0
47,"Verbal Abuse",8,0,0,0,1,0
48,"Arrest/Lock-up Procedures",70,1,0,0,3,0.0149253731343284
48,"Bribery / Official Corruption",5,0,0,0,0,0
48,"Conduct Unbecoming (Off-duty)",8,3,2,0,1,0.714285714285714
48,"First Amendment and Illegal Arrest",112,0,0,0,15,0
48,"Operation/Personnel Violations",133,2,2,2,15,0.0344827586206897
48,"Search-Related",21,1,0,0,3,0.0555555555555556
48,"Traffic",5,0,0,0,0,0
48,"Verbal Abuse",15,0,0,0,2,0
49,"Arrest/Lock-up Procedures",60,1,1,0,1,0.0338983050847458
49,"Bribery / Official Corruption",2,0,0,0,0,0
49,"Conduct Unbecoming (Off-duty)",8,3,1,0,0,0.5
49,"Criminal Misconduct",2,0,2,0,0,1
49,"First Amendment and Illegal Arrest",76,0,0,0,5,0
49,"Operation/Personnel Violations",92,0,2,0,8,0.0238095238095238
49,"Search-Related",10,0,0,0,2,0
49,"Supervisory Responsibilities",1,1,0,0,0,1
49,"Traffic",5,0,0,0,0,0
49,"Verbal Abuse",11,0,0,0,2,0
50,"Arrest/Lock-up Procedures",49,0,0,0,3,0
50,"Bribery / Official Corruption",2,0,0,0,0,0
50,"Conduct Unbecoming (Off-duty)",7,3,1,0,1,0.666666666666667
50,"First Amendment and Illegal Arrest",48,0,0,1,6,0
50,"Operation/Personnel Violations",102,0,2,0,15,0.0229885057471264
50,"Search-Related",10,0,0,0,2,0
50,"Traffic",12,0,0,0,0,0
50,"Verbal Abuse",7,0,0,0,0,0
NA,"Alcohol Abuse",98,52,14,3,12,0.795180722891566
NA,"Arrest/Lock-up Procedures",10362,184,55,1,861,0.0251578947368421
NA,"Bribery / Official Corruption",93,7,3,0,13,0.125
NA,"Conduct Unbecoming (Off-duty)",746,156,55,8,76,0.318731117824773
NA,"Criminal Misconduct",280,18,25,1,29,0.172
NA,"Drug/Substance Abuse",66,9,9,1,8,0.315789473684211
NA,"First Amendment and Illegal Arrest",12843,51,18,16,714,0.00569635928341451
NA,"Operation/Personnel Violations",12462,989,247,39,719,0.105604921394395
NA,"Search-Related",2259,148,20,8,184,0.081277213352685
NA,"Supervisory Responsibilities",602,16,6,0,15,0.0374787052810903
NA,"Traffic",853,21,7,6,36,0.0345252774352651
NA,"Verbal Abuse",1492,28,3,0,77,0.0219081272084806
