"Ward","category","n","disciplined","sustained","open","unknown","sd_plus"
10,"Supervisory Responsibilities",7,0,0,0,0,0
10,"Traffic",15,1,1,0,5,0.2
10,"Verbal Abuse",19,1,0,0,2,0.0588235294117647
11,"Alcohol Abuse",2,1,1,0,0,1
11,"Arrest/Lock-up Procedures",111,0,1,0,7,0.00961538461538462
11,"Conduct Unbecoming (Off-duty)",10,0,0,0,2,0
11,"Criminal Misconduct",1,0,0,0,1,NA
11,"Drug/Substance Abuse",3,0,0,0,2,0
11,"First Amendment and Illegal Arrest",166,0,0,0,6,0
11,"Operation/Personnel Violations",225,4,7,0,6,0.0502283105022831
11,"Search-Related",36,2,0,0,0,0.0555555555555556
11,"Supervisory Responsibilities",5,0,0,0,0,0
11,"Traffic",15,0,1,0,0,0.0666666666666667
11,"Verbal Abuse",10,0,0,0,0,0
12,"Alcohol Abuse",1,1,0,0,0,1
12,"Arrest/Lock-up Procedures",167,0,1,0,6,0.0062111801242236
12,"Bribery / Official Corruption",7,0,1,0,0,0.142857142857143
12,"Conduct Unbecoming (Off-duty)",14,1,1,0,1,0.153846153846154
12,"Criminal Misconduct",1,0,0,0,0,0
12,"First Amendment and Illegal Arrest",226,0,0,0,8,0
12,"Operation/Personnel Violations",301,13,4,2,11,0.0590277777777778
12,"Search-Related",82,3,0,0,0,0.0365853658536585
12,"Supervisory Responsibilities",6,0,0,0,0,0
12,"Traffic",19,1,1,0,0,0.105263157894737
12,"Verbal Abuse",18,0,0,0,0,0
13,"Alcohol Abuse",3,2,1,0,0,1
13,"Arrest/Lock-up Procedures",134,2,3,0,6,0.0390625
13,"Bribery / Official Corruption",7,0,0,0,0,0
13,"Conduct Unbecoming (Off-duty)",20,1,0,0,9,0.0909090909090909
13,"Criminal Misconduct",2,1,1,0,0,1
13,"Drug/Substance Abuse",1,0,0,0,0,0
13,"First Amendment and Illegal Arrest",106,1,0,0,13,0.010752688172043
13,"Operation/Personnel Violations",170,7,1,2,16,0.0526315789473684
13,"Search-Related",24,1,0,0,1,0.0434782608695652
13,"Supervisory Responsibilities",5,0,0,0,0,0
13,"Traffic",18,0,0,0,4,0
13,"Verbal Abuse",15,0,0,0,5,0
14,"Alcohol Abuse",1,1,0,0,0,1
14,"Arrest/Lock-up Procedures",127,0,0,0,5,0
14,"Conduct Unbecoming (Off-duty)",6,0,0,0,1,0
14,"First Amendment and Illegal Arrest",170,0,0,0,13,0
14,"Operation/Personnel Violations",239,6,3,2,7,0.0391304347826087
14,"Search-Related",44,2,0,0,3,0.0487804878048781
14,"Supervisory Responsibilities",8,0,0,0,0,0
14,"Traffic",14,1,1,0,2,0.166666666666667
14,"Verbal Abuse",10,0,0,0,0,0
15,"Alcohol Abuse",1,1,0,0,0,1
15,"Arrest/Lock-up Procedures",192,1,1,0,9,0.0109289617486339
15,"Bribery / Official Corruption",3,0,0,0,0,0
15,"Conduct Unbecoming (Off-duty)",10,2,1,0,1,0.333333333333333
15,"Criminal Misconduct",1,0,0,0,0,0
15,"First Amendment and Illegal Arrest",357,0,0,0,27,0
15,"Operation/Personnel Violations",319,15,4,4,30,0.0666666666666667
15,"Search-Related",83,1,2,0,4,0.0379746835443038
15,"Supervisory Responsibilities",5,0,0,0,1,0
15,"Traffic",27,0,0,3,1,0
15,"Verbal Abuse",19,0,0,0,2,0
16,"Alcohol Abuse",1,1,0,0,0,1
16,"Arrest/Lock-up Procedures",308,1,1,1,9,0.00671140939597315
16,"Bribery / Official Corruption",6,0,0,0,0,0
16,"Conduct Unbecoming (Off-duty)",11,2,1,0,1,0.3
16,"Drug/Substance Abuse",1,0,0,0,0,0
16,"First Amendment and Illegal Arrest",551,0,0,0,32,0
16,"Operation/Personnel Violations",519,48,6,1,34,0.111570247933884
16,"Search-Related",120,3,2,0,13,0.0467289719626168
16,"Supervisory Responsibilities",6,0,0,0,0,0
16,"Traffic",36,1,0,3,2,0.032258064516129
16,"Verbal Abuse",34,0,0,0,2,0
17,"Arrest/Lock-up Procedures",314,1,2,1,9,0.00986842105263158
17,"Conduct Unbecoming (Off-duty)",11,2,0,0,2,0.222222222222222
17,"Criminal Misconduct",2,0,0,0,0,0
17,"Drug/Substance Abuse",3,0,0,0,0,0
17,"First Amendment and Illegal Arrest",615,0,0,1,47,0
17,"Operation/Personnel Violations",422,17,12,4,39,0.0765171503957784
17,"Search-Related",126,2,0,0,11,0.0173913043478261
17,"Supervisory Responsibilities",5,0,0,0,1,0
17,"Traffic",35,0,0,1,0,0
